,int_rate,loan_amnt,annual_inc,dti,delinq_2yrs,total_acc,open_acc,pct_tl_nvr_dlq,pub_rec_bankruptcies,total_bal_ex_mort
69254,16.02%,12000,46531,23.88,0,28,22,100,1,21015
98183,19.99%,2500,50000,4.61,0,20,17,95,0,23030
167484,5.32%,15000,90000,15.04,0,22,11,100,0,56907
40254,7.24%,16700,76000,18.82,0,23,11,100,0,21333
148348,16.02%,35000,120000,9.43,0,17,6,100,0,22435
107485,11.99%,3600,45000,25.44,0,35,12,100,1,42191
189683,9.92%,24000,100000,7.23,0,16,5,62,0,12863
240450,14.47%,2000,100000,6.64,0,22,11,100,0,28364
71696,19.03%,2500,95000,15.17,2,31,15,76,0,62646
192401,7.34%,15000,32000,39.61,0,32,17,100,0,13983
218574,10.56%,6000,52000,21.23,0,20,12,100,0,29042
162445,24.85%,25000,115000,21.74,3,29,19,88,0,47212
140423,10.91%,10975,73000,24.92,0,24,17,91,0,53337
10753,22.74%,24000,69600,13.91,0,34,9,94,0,50306
95100,8.24%,20000,70000,15.48,0,6,4,100,0,14411
1215,13.49%,13675,36000,17.4,0,15,11,100,0,10605
49373,19.99%,5375,12500,41.98,1,9,7,87,0,11678
226399,10.07%,15000,100000,17.65,1,34,18,97,0,41212
145717,7.21%,7200,65000,16.27,1,7,6,100,0,30742
12281,8.24%,9600,52000,12.42,1,13,7,92,0,30124
81459,8.24%,35000,115000,8.05,0,22,8,100,0,41219
137117,7.97%,19200,109000,14.07,1,30,13,100,0,52385
238586,9.43%,18000,60000,15.72,0,39,17,97,0,32410
184397,29.69%,32000,100000,32.49,0,71,21,96,1,425319
180534,21.45%,17500,145000,19.08,0,19,14,100,1,75655
11999,8.24%,12000,70000,16.37,0,30,10,100,0,69024
213648,6.08%,10000,32500,6.06,0,21,11,100,0,5730
211389,18.06%,28000,90000,44.71,0,54,34,100,0,144641
169861,11.99%,24000,85000,17.27,0,31,13,100,0,70580
192788,7.34%,11200,98000,31.85,0,22,13,100,0,115580
244624,15.02%,16000,78000,25.03,0,30,11,100,0,56852
237235,6.71%,3000,45000,7.23,0,8,5,100,0,9027
147327,14.08%,8000,43000,22.75,2,17,9,62,0,37275
253960,16.46%,15000,55000,7.2,0,10,8,90,0,4623
249058,10.47%,16800,65000,21.31,0,17,9,94,0,37311
135406,7.35%,8400,33500,24.69,0,18,8,100,0,21563
96111,12.74%,14400,37336,56.51,0,22,17,100,0,68722
225914,20.39%,12000,41000,5.65,0,8,7,100,0,5233
151888,19.03%,20000,146400,25.79,0,29,17,89,0,110649
87899,28.69%,1500,28523,32.79,0,15,9,85,0,51939
30185,14.99%,8000,41000,33.75,0,13,7,76,0,27862
165601,16.02%,15200,70000,22.34,2,47,11,89,0,34854
230171,5.31%,4000,48000,21.5,0,15,6,100,1,36606
247447,6.11%,40000,160000,8.0,0,13,6,92,0,17231
101600,10.91%,4300,36000,27.03,0,17,13,94,0,24493
242425,20.89%,35000,55000,53.87,0,51,21,98,0,107348
201795,16.02%,3000,80000,14.13,0,14,11,100,0,34276
175739,9.93%,22000,65000,25.63,6,40,9,82,0,54524
11776,11.39%,5000,60000,24.48,4,42,20,88,0,26206
208166,12.62%,16800,124730,13.83,0,17,10,88,0,35109
122487,22.91%,18825,50000,26.92,0,33,25,97,0,43386
